zip_code,lat,lon,city,state,county,type,state_full
75663,32.380001,-94.860003,KILGORE,TX,GREGG,STANDARD,Texas
75666,32.349999,-94.900001,LAIRD HILL,TX,RUSK,PO BOX ONLY,Texas
75667,31.988177,-94.844273,LANEVILLE,TX,RUSK,STANDARD,Texas
75668,32.907076,-94.678634,LONE STAR,TX,MORRIS,STANDARD,Texas
75669,32.038799,-94.575881,LONG BRANCH,TX,PANOLA,STANDARD,Texas
75670,32.569860,-94.418657,MARSHALL,TX,HARRISON,STANDARD,Texas
75671,32.529999,-94.350000,MARSHALL,TX,HARRISON,STANDARD,Texas
75672,32.468301,-94.299081,MARSHALL,TX,HARRISON,STANDARD,Texas
75680,32.040001,-94.760002,MINDEN,TX,RUSK,STANDARD,Texas
75681,31.925448,-94.704029,MOUNT ENTERPRISE,TX,RUSK,STANDARD,Texas
75682,32.250340,-94.936535,NEW LONDON,TX,RUSK,PO BOX ONLY,Texas
75683,32.826815,-94.737224,ORE CITY,TX,UPSHUR,STANDARD,Texas
75684,32.277022,-94.937157,OVERTON,TX,RUSK,STANDARD,Texas
75685,32.349999,-94.090002,PANOLA,TX,PANOLA,PO BOX ONLY,Texas
75686,32.965129,-94.951917,PITTSBURG,TX,CAMP,STANDARD,Texas
75687,32.079998,-94.939998,PRICE,TX,RUSK,PO BOX ONLY,Texas
75688,32.529999,-94.240000,SCOTTSVILLE,TX,HARRISON,PO BOX ONLY,Texas
75689,32.179999,-94.949998,SELMAN CITY,TX,RUSK,PO BOX ONLY,Texas
75691,32.311917,-94.551750,TATUM,TX,RUSK,STANDARD,Texas
75692,32.470839,-94.118040,WASKOM,TX,HARRISON,STANDARD,Texas
75693,32.533779,-94.860659,WHITE OAK,TX,GREGG,STANDARD,Texas
75694,32.660001,-94.340000,WOODLAWN,TX,HARRISON,PO BOX ONLY,Texas
75701,32.321937,-95.302224,TYLER,TX,SMITH,STANDARD,Texas
75702,32.362433,-95.315263,TYLER,TX,SMITH,STANDARD,Texas
75703,32.235098,-95.320781,TYLER,TX,SMITH,STANDARD,Texas
75704,32.413107,-95.443349,TYLER,TX,SMITH,STANDARD,Texas
75705,32.362632,-95.086690,TYLER,TX,SMITH,STANDARD,Texas
75706,32.469555,-95.307879,TYLER,TX,SMITH,STANDARD,Texas
75707,32.301710,-95.177976,TYLER,TX,SMITH,STANDARD,Texas
75708,32.418410,-95.213069,TYLER,TX,SMITH,STANDARD,Texas
75709,32.304312,-95.390934,TYLER,TX,SMITH,STANDARD,Texas
75710,32.320001,-95.299997,TYLER,TX,SMITH,STANDARD,Texas
75711,32.320001,-95.299997,TYLER,TX,SMITH,STANDARD,Texas
75712,32.320001,-95.299997,TYLER,TX,SMITH,STANDARD,Texas
75713,32.320001,-95.299997,TYLER,TX,SMITH,STANDARD,Texas
75750,32.267542,-95.077715,ARP,TX,SMITH,STANDARD,Texas
75751,32.094349,-95.906047,ATHENS,TX,HENDERSON,STANDARD,Texas
75752,32.244008,-95.807610,ATHENS,TX,HENDERSON,STANDARD,Texas
75754,32.427979,-95.661983,BEN WHEELER,TX,VAN ZANDT,STANDARD,Texas
75755,32.641696,-95.075625,BIG SANDY,TX,UPSHUR,STANDARD,Texas
75756,32.302027,-95.600894,BROWNSBORO,TX,HENDERSON,STANDARD,Texas
75757,32.110454,-95.348075,BULLARD,TX,SMITH,STANDARD,Texas
75758,32.271435,-95.521439,CHANDLER,TX,HENDERSON,STANDARD,Texas
